# Freq,Power
1.016032064128256440e+08,-1.028711750472209587e+02
1.016232464929859787e+08,-1.031992281027138603e+02
1.016432865731462985e+08,-1.019479958018677195e+02
1.016633266533066183e+08,-1.022873861212438698e+02
1.016833667334669381e+08,-1.044454409510267396e+02
1.017034068136272579e+08,-1.043132063440542510e+02
1.017234468937875777e+08,-1.028735000475019206e+02
1.017434869739478976e+08,-1.017422952563272247e+02
1.017635270541082174e+08,-1.028737912066833786e+02
1.017835671342685372e+08,-1.012289829179206038e+02
1.018036072144288570e+08,-1.036523026149165787e+02
1.018236472945891768e+08,-1.017409576515758118e+02
1.018436873747494966e+08,-1.023321108649193718e+02
1.018637274549098164e+08,-1.022171520990159479e+02
1.018837675350701362e+08,-1.019175158185675372e+02
1.019038076152304560e+08,-1.028625307470766472e+02
1.019238476953907758e+08,-1.017231969038704449e+02
1.019438877755510956e+08,-1.014078987896032515e+02
1.019639278557114303e+08,-1.014374708023838707e+02
1.019839679358717501e+08,-1.022452653279898982e+02
1.020040080160320699e+08,-1.021748832558850779e+02
1.020240480961923897e+08,-1.025163437365712440e+02
1.020440881763527095e+08,-1.019239502286071257e+02
1.020641282565130293e+08,-1.022711662101510655e+02
1.020841683366733491e+08,-1.035727006894502438e+02
1.021042084168336689e+08,-1.017331081745903418e+02
1.021242484969939888e+08,-1.032741877407650861e+02
1.021442885771543086e+08,-1.016595882456121558e+02
1.021643286573146284e+08,-1.021753027590613527e+02
1.021843687374749482e+08,-1.022204057532768502e+02
1.022044088176352680e+08,-1.020894031073894581e+02
1.022244488977955878e+08,-1.017356628012530990e+02
1.022444889779559076e+08,-1.011066550853384314e+02
1.022645290581162274e+08,-1.002675061598794457e+02
1.022845691382765472e+08,-1.003815581411576119e+02
1.023046092184368670e+08,-1.015065288549293427e+02
1.023246492985971868e+08,-1.026611067915531237e+02
1.023446893787575215e+08,-1.028898779240818158e+02
1.023647294589178413e+08,-1.003815745773866013e+02
1.023847695390781611e+08,-1.028530064159885171e+02
1.024048096192384809e+08,-1.010121368131134290e+02
1.024248496993988007e+08,-1.015256503961210512e+02
1.024448897795591205e+08,-1.009558249756316144e+02
1.024649298597194403e+08,-1.013628711853798166e+02
1.024849699398797601e+08,-1.026007689673303531e+02
1.025050100200400800e+08,-1.012865413488345467e+02
1.025250501002003998e+08,-9.945300044252132921e+01
1.025450901803607196e+08,-1.016723504422197237e+02
1.025651302605210394e+08,-9.909166384101202141e+01
1.025851703406813592e+08,-9.893949337023161661e+01
1.026052104208416790e+08,-9.958747871769631388e+01
1.026252505010019988e+08,-9.989055114993817597e+01
1.026452905811623186e+08,-9.963903261504188436e+01
1.026653306613226384e+08,-9.955834223436048092e+01
1.026853707414829731e+08,-1.001673063848628829e+02
1.027054108216432929e+08,-9.897095547925248127e+01
1.027254509018036127e+08,-9.941458892158318861e+01
1.027454909819639325e+08,-9.760755115424251471e+01
1.027655310621242523e+08,-9.852703679053597341e+01
1.027855711422845721e+08,-1.007072363494560960e+02
1.028056112224448919e+08,-9.673403807377985686e+01
1.028256513026052117e+08,-9.993735122392027392e+01
1.028456913827655315e+08,-9.760687144440123575e+01
1.028657314629258513e+08,-9.831007625082533252e+01
1.028857715430861712e+08,-9.800836170128235381e+01
